,configuration,release,recall,precision,fpr,f_measure,g_measure,balance,accuracy,error,error_type1,error_type2,mcc,consistency,auc,auc_alberg,auc_roi,necm10,necm25,cost,nofb20,nofc80,bias_train,bias_train_processed,bias_test,ratio_bias,ratio_bias_processed,prop1_defect,prop1_clean,num_train,num_train_processed,num_test,diff,potential
35,3_Peters15,calcite-1.6.0,0.3271028037383177,0.2482269503546099,0.09760589318600368,0.28225806451612895,0.48015678588926985,0.5192102605496502,0.8507963118189439,0.1492036881810561,0.9906542056074766,0.06629834254143646,0.2031263285069014,0.2608044611968813,0.7571126142407187,0.008062000338832,0.4112256181830882,0.6923721709974854,1.597652975691534,115510.0,23.0,488.0,0.0110544217687074,0.0108010801080108,0.0896898575020955,8.113482494035777,8.303785973735677,64.69158878504673,39.66942909760589,1176,1111,1193,-2064.910633484163,none
36,3_Peters15,calcite-1.7.0,0.2265625,0.2566371681415929,0.07473309608540925,0.24066390041493774,0.3639962345217118,0.4505500013391751,0.8538338658146964,0.1461661341853035,0.65625,0.08807829181494661,0.1605250979696704,0.1384842081850534,0.5951575011120996,0.0067106004297368,0.4225477779871592,0.8578274760383386,2.043929712460064,82513.0,25.0,1035.0,0.0058675607711651,0.0061565523306948,0.1022364217252396,17.424007302601638,16.606115928799664,54.3046875,38.411921708185055,1193,1137,1252,-1312.8928571428573,none
37,5_Watanabe08,calcite-1.0.0,0.2191011235955056,0.3545454545454545,0.07915273132664437,0.2708333333333333,0.3539786056886672,0.44499179733707106,0.8046511627906977,0.1953488372093023,0.398876404494382,0.15496098104793757,0.1716382733935681,0.06414014254756804,0.6762084601605852,0.0148908870848209,0.3686082712100218,1.3590697674418604,3.298604651162791,66627.0,18.0,517.0,0.0585983510011778,0.0585983510011778,0.1655813953488372,2.8257005960032746,2.8257005960032746,37.58988764044944,10.826086956521738,44148,44148,1075,-778.5435729847497,none
38,3_Peters15,calcite-1.8.0,0.6237623762376238,0.225,0.18083333333333335,0.33070866141732286,0.7082335046859901,0.7048259462801618,0.8039969254419678,0.1960030745580323,2.1485148514851486,0.03166666666666667,0.2883988877632852,0.5920957095709571,0.8049463696369636,0.0131109728707942,0.473044448829624,0.4588777863182167,0.8970023059185243,138756.0,33.0,449.0,0.0327476038338658,0.0343959731543624,0.0776325903151421,2.3706342213306812,2.257025552576815,69.68316831683168,38.755833333333335,1252,1192,1301,-583.2966101694915,none
39,3_Peters15,calcite-1.9.0,0.5555555555555556,0.238095238095238,0.13114754098360656,0.33333333333333326,0.6777493606138107,0.6723335982255905,0.8473282442748091,0.1526717557251908,1.7777777777777777,0.03278688524590164,0.2926029879671912,0.5227686703096539,0.8093579234972678,0.0067827275787041,0.4959015652932692,0.4274809160305343,0.8854961832061069,139569.0,36.0,401.0,0.0299769408147578,0.0294117647058823,0.0687022900763358,2.2918379330593104,2.3358778625954213,40.577777777777776,40.0844262295082,1301,1224,1310,-654.3129032258064,none
40,5_Watanabe08,calcite-1.1.0,0.2389380530973451,0.2347826086956521,0.08888888888888889,0.23684210526315783,0.3785909712722298,0.4581898295569007,0.8422484134179511,0.1577515865820489,0.7787610619469026,0.08686868686868687,0.148889135157289,0.15206936622865827,0.6739385000446947,0.0050110190835692,0.3933908778863887,0.8594741613780599,2.029011786038078,67509.0,12.0,552.0,0.0592874025314218,0.0592874025314218,0.1024478694469628,1.727987145206207,1.727987145206207,59.85840707964602,11.66969696969697,45271,45271,1103,-955.2527412280699,none
41,3_Peters15,cayenne-3.1.0,0.631578947368421,0.035820895522388,0.20718409236690186,0.06779661016949141,0.7030716723549487,0.7011193213403905,0.7908745247148289,0.2091254752851711,17.0,0.004490057729313663,0.1131910270310277,0.6270888896391074,0.8361128928800513,0.0,0.5576188643942461,0.2490494296577946,0.3155893536121673,80765.0,5.0,424.0,0.0234192037470726,0.0299295774647887,0.012040557667934,0.5141318124207818,0.4022962797286188,42.05263157894737,8.995509942270687,1708,1136,1578,2279.7000000000007,large
42,3_Peters15,commons-bcel-6.1,0.7,0.1707317073170731,0.09239130434782608,0.27450980392156854,0.7903989181879649,0.7780358665019361,0.9021164021164021,0.0978835978835978,3.4,0.008152173913043478,0.3135746968473025,0.6918478260869565,0.7683423913043478,0.002161300197302,0.6456887165336731,0.1693121693121693,0.2883597883597883,12537.0,4.0,55.0,0.0159574468085106,0.021505376344086,0.0264550264550264,1.657848324514992,1.230158730158729,80.1,13.375,376,279,378,-6557.666666666667,none
43,3_Peters15,commons-bcel-6.2,0.6666666666666666,0.1463414634146341,0.0948509485094851,0.23999999999999994,0.767816091954023,0.7549410136882753,0.8994708994708994,0.1005291005291005,3.888888888888889,0.008130081300813009,0.2803390828251218,0.6585365853658537,0.7466124661246613,0.0017344787960351,0.6144918661403242,0.1719576719576719,0.291005291005291,12545.0,3.0,366.0,0.0159574468085106,0.021505376344086,0.0238095238095238,1.4920634920634952,1.1071428571428579,88.55555555555556,13.338753387533876,376,279,378,5980.333333333333,large
44,5_Watanabe08,calcite-1.10.0,0.3214285714285714,0.3033707865168539,0.05057096247960848,0.3121387283236994,0.48026406271489475,0.5188469027847875,0.9091603053435114,0.0908396946564885,0.7380952380952381,0.0464926590538336,0.2636775065452085,0.2749359123747378,0.8040957818690282,0.0082658319066553,0.4917800755005614,0.482442748091603,1.1351145038167938,105703.0,36.0,338.0,0.0487882441797294,0.0487882441797294,0.0641221374045801,1.3142948364438507,1.3142948364438507,43.47619047619048,40.19331158238173,75469,75469,1310,-989.5488038277513,none
